"Device Name","Ticket Name","Order Source","Number of Items","Items in Ticket","Completion Time (seconds)","Time Created","Time Completed","Time Due","Time Recalled"
"MILK","","Point of Sale","1","1x 8oz/Small","715","2026-02-09 08:25:40","2026-02-09 08:37:35","",""
"MILK","","Point of Sale","1","1x 6oz","827","2026-02-09 08:34:19","2026-02-09 08:48:06","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","606","2026-02-09 08:38:00","2026-02-09 08:48:06","",""
"MILK","","Point of Sale","2","2x 12oz/Medium","360","2026-02-09 08:42:05","2026-02-09 08:48:05","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","308","2026-02-09 08:42:56","2026-02-09 08:48:04","",""
"MILK","","Point of Sale","2","1x 12oz/ICED SMALL; 1x 8oz/Small","279","2026-02-09 08:43:25","2026-02-09 08:48:04","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","432","2026-02-09 08:44:52","2026-02-09 08:52:04","",""
"MILK","Alex","Point of Sale","2","1x TOASTIE; 1x 16oz/ICED MEDIUM","407","2026-02-09 08:45:29","2026-02-09 08:52:16","",""
"MILK","Pj","Point of Sale","1","1x 8oz/Small","393","2026-02-09 08:45:44","2026-02-09 08:52:17","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","370","2026-02-09 08:45:55","2026-02-09 08:52:05","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","463","2026-02-09 08:46:41","2026-02-09 08:54:24","",""
"MILK","","Point of Sale","1","1x 16oz/Large","375","2026-02-09 08:48:09","2026-02-09 08:54:24","",""
"MILK","","Point of Sale","1","1x 16oz/Large","429","2026-02-09 08:49:47","2026-02-09 08:56:56","",""
"MILK","","Point of Sale","3","1x Babycino; 1x Sweet Pastry; 1x 8oz/Small","334","2026-02-09 08:51:23","2026-02-09 08:56:57","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","885","2026-02-09 08:51:46","2026-02-09 09:06:31","",""
"MILK","","Point of Sale","1","1x 16oz/Large","511","2026-02-09 08:58:01","2026-02-09 09:06:32","",""
"MILK","","Point of Sale","2","1x 16oz/ICED MEDIUM; 1x 16oz/Large","471","2026-02-09 08:58:41","2026-02-09 09:06:32","",""
"MILK","","Point of Sale","1","1x 6oz","358","2026-02-09 08:59:05","2026-02-09 09:05:03","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 12oz/Medium","708","2026-02-09 09:01:44","2026-02-09 09:13:32","",""
"MILK","","Point of Sale","1","1x 12oz/ICED SMALL","649","2026-02-09 09:02:42","2026-02-09 09:13:31","",""
"MILK","","Point of Sale","1","1x 8oz/Small","238","2026-02-09 09:13:20","2026-02-09 09:17:18","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","86","2026-02-09 09:15:52","2026-02-09 09:17:18","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","411","2026-02-09 09:17:46","2026-02-09 09:24:37","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","395","2026-02-09 09:18:02","2026-02-09 09:24:37","",""
"MILK","","Point of Sale","1","1x 8oz/Small","278","2026-02-09 09:20:00","2026-02-09 09:24:38","",""
"MILK","","Point of Sale","2","2x 20oz\ICED LARGE","172","2026-02-09 09:21:47","2026-02-09 09:24:39","",""
"MILK","","Point of Sale","1","1x 16oz/Large","112","2026-02-09 09:22:46","2026-02-09 09:24:38","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","279","2026-02-09 09:23:19","2026-02-09 09:27:58","",""
"MILK","","Point of Sale","1","1x 12oz/ICED SMALL","184","2026-02-09 09:24:55","2026-02-09 09:27:59","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","168","2026-02-09 09:25:12","2026-02-09 09:28:00","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","445","2026-02-09 09:33:19","2026-02-09 09:40:44","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","267","2026-02-09 09:36:17","2026-02-09 09:40:44","",""
"MILK","","Point of Sale","3","1x 12oz/Medium; 1x Sweet Pastry; 1x 12oz/Medium","620","2026-02-09 09:42:58","2026-02-09 09:53:18","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 12oz/Medium","123","2026-02-09 09:51:16","2026-02-09 09:53:19","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","92","2026-02-09 09:56:17","2026-02-09 09:57:49","",""
"MILK","","Point of Sale","1","1x Sweet Pastry","835","2026-02-09 09:57:42","2026-02-09 10:11:37","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","550","2026-02-09 10:02:28","2026-02-09 10:11:38","",""
"MILK","","Point of Sale","1","1x Fruit Juice","338","2026-02-09 10:06:00","2026-02-09 10:11:38","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","148","2026-02-09 10:09:10","2026-02-09 10:11:38","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","125","2026-02-09 10:09:34","2026-02-09 10:11:39","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","106","2026-02-09 10:20:28","2026-02-09 10:22:14","",""
"MILK","","Point of Sale","1","1x Fiji Water","24","2026-02-09 10:21:50","2026-02-09 10:22:14","",""
"MILK","","Point of Sale","1","1x 20oz\ICED LARGE","189","2026-02-09 10:22:41","2026-02-09 10:25:50","",""
"MILK","","Point of Sale","2","1x 12oz/ICED SMALL; 1x BUTTERBOY","690","2026-02-09 10:28:34","2026-02-09 10:40:04","",""
"MILK","","Point of Sale","2","2x 8oz/Small","143","2026-02-09 11:11:25","2026-02-09 11:13:48","",""
"MILK","","Point of Sale","1","1x 16oz/Large","93","2026-02-09 11:23:53","2026-02-09 11:25:26","",""
"MILK","","Point of Sale","2","1x 16oz/Large; 1x Plain Croissant","368","2026-02-09 11:27:58","2026-02-09 11:34:06","",""
"MILK","","Point of Sale","4","1x Fiji Water; 1x BUTTERBOY; 2x 12oz/ICED SMALL","138","2026-02-09 11:31:48","2026-02-09 11:34:06","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 12oz/Medium","14","2026-02-09 11:41:18","2026-02-09 11:41:32","",""
"MILK","","Point of Sale","2","1x 16oz/ICED MEDIUM; 1x 16oz/ICED MEDIUM","655","2026-02-09 11:58:12","2026-02-09 12:09:07","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","140","2026-02-09 12:06:48","2026-02-09 12:09:08","",""
